label,cleaned,adjusted,Comments,Synonym,NeuroElectro,BAMS,Neurolex,Hippocampome,BBP Cell,NeuroMorpho,Autogenerated,Added
Spinal cord intermediate horn motor neuron sympathetic,,,,,x,,x,,,,,
Spinal cord motor neuron parasympathetic,,,,,,,x,,,,,
Spinal cord ventral horn interneuron II,,,,,x,,,,,,,
Spinal cord ventral horn interneuron Renshaw,,,,,,,x,,x,,,
Spinal cord ventral horn interneuron V2,,,,,x,,,,,,,
Spinal cord ventral horn motor neuron alpha,,,,,x,,x,,,,,
Spinal cord ventral horn motor neuron beta,,,,,,,x,,,,,
Spinal cord ventral horn motor neuron gamma,,,,,x,,x,,,,,
Spinocerebellar dorsal tract principal cell,,,,,,,x,,x,,,
Spinocerebellar ventral tract principal cell,,,,,,,,,x,,,
Striatum cholinergic cell,Striatal cholinergic cell,,,,x,,x,,,,,
Striatum GABAergic interneuron,Striatal GABAergic interneuron,Striatal parvalbumin interneuron,,,x,,,,,,,
Striatum medium spiny neuron,Striatal medium spiny neuron,,,,x,,,,,,,
Striatum neurogliaform cell,Striatal neurogliaform cell,,,,,,x,,,,,
Striatum parvalbumin interneuron,Striatal parvalbumin interneuron,,,,,,x,,,,,
Striatum somatostatin positive nitric oxide synthase cell,---,,,,x,,x,,,,,
Striatum TH+ cell,---,,,,x,,,,,,,
Subceruleus nucleus projection neuron,,,,,,,,,,,,
Subceruleus nucleus intrinsic neuron,,,,,,,,,,,,
Subiculum pyramidal cell,,,,,x,,x,,,,,
Sublingual nucleus projection neuron,,,,,,,,,,,,
Sublingual nucleus intrinsic neuron,,,,,,,,,,,,
Substantia innominata intrinsic interneuron,,,,,,,,,,,x,
Substantia innominata projection neuron,,,,,,,,,,,x,
Substantia nigra pars compacta dopaminergic cell,,,,,x,,x,,,,,
Substantia nigra pars reticulata gabaergic interneuron,,,,,x,,x,,,,,
Substantia nigra pars reticulata intrinsic interneuron,,,,,,,,,,,x,
Substantia nigra pars reticulata principal cell,,,,,x,,x,,,,,
Subthalamic nucleus neuron,,,,,x,,,,,,,
Suprachiasmatic nucleus intrinsic neuron,,,,,,,,,,,,
Suprachiasmatic nucleus projection neuron,,,,,x,,,,,,,
Sympathetic ganglion neuron,,,,,,,,,,,,
Tenia tecta intrinsic interneuron,,,,,,,,,,,x,
Tenia tecta projection neuron,,,,,,,,,,,x,
Thalamic interneuron,Thalamus intrinsic interneuron,,,,,,,,,,,
Thalamic relay cell,Thalamus projection neuron,,,,,,,,,,,
